"filename", "language", "Dart", "comment", "blank", "total"
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/local_functions.dart", "Dart", 41, 0, 6, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/scroll_to_hide_widget.dart", "Dart", 43, 1, 11, 55
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/like.dart", "Dart", 3, 0, 0, 3
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/match.dart", "Dart", 6, 0, 0, 6
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/profile.dart", "Dart", 2, 0, 0, 2
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/auth_repository.dart", "Dart", 1, -1, 0, 0
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/friends_widget.dart", "Dart", 75, 22, 3, 100
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/group_card.dart", "Dart", 49, 10, 4, 63
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/match_history_widget.dart", "Dart", 138, 45, 7, 190
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/view_user.dart", "Dart", -70, -28, -2, -100
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view.dart", "Dart", 15, 0, 1, 16
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_bloc.dart", "Dart", 0, 15, 1, 16
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_list_screen.dart", "Dart", 159, 18, 8, 185
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_request_screen.dart", "Dart", 30, 0, 0, 30
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/match_list_screen.dart", "Dart", 48, 135, 7, 190
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_bloc.dart", "Dart", 41, -51, -3, -13
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_event.dart", "Dart", -13, -25, -14, -52
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_state.dart", "Dart", 12, 0, 0, 12
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_view.dart", "Dart", -203, -23, -4, -230
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile.dart", "Dart", -3, 0, 0, -3
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view.dart", "Dart", 4, 10, 1, 15
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_bloc.dart", "Dart", 6, 0, 0, 6
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_cubit.dart", "Dart", 2, 0, 0, 2
"Total", "-", 386, 128, 26, 540